How did you receive the form?,Drop Off Location for year 2024,Stake for year 2024,Time Spent Collecting Donations,# of Adult Volunteers for year 2024,# of Youth Volunteers for year 2024,Doors in Route for year 2024,Donation Bags Collected for the year 2024,Completed More Than One Route for year 2024,How many routes did you complete? for year 2024,Comment Sentiments for year 2024,Comments or Feedback for year 2024,COMBINED STAKES
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,1 Hour - 1.5 Hours,2,4,225,22,No,1,Neutral,No Comments,Forest Heights Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,2,140,30,No,1,Neutral,No Comments,Crawford Plains Ward
In person,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,1,1,145,26,No,1,Positive,Good experience speculating that some bag weren’t delivered to a few locations in the route,Lee Ridge Ward
In person,Bearspaw Chapel,Gateway Stake,1 Hour - 1.5 Hours,2,0,210,18,No,1,Neutral,No Comments,Blackmud Creek Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,2,1,60,16,No,1,Neutral,No Comments,Clareview Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,30 - 60 Minutes,2,1,150,22,No,1,Neutral,No Comments,Forest Heights Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,2,0,9,9,No,1,Negative,"Somebody picked bag already ( 2 people did our route ) 
Also, when we dropped off bags someone already did",Clareview Ward
via Email,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,0,167,25,No,1,Positive,Good,Woodbend Ward
In person,Bearspaw Chapel,Gateway Stake,2+ Hours,2,4,190,20,Yes,2,Neutral,No Comments,Blackmud Creek Ward
In person,Londonberry Chapel,Bonnie Doon Stake,1 Hour - 1.5 Hours,2,2,110,30,No,1,Neutral,No Comments,Clareview Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,2,0,174,17,No,1,Neutral,No Comments,Rutherford Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,30 - 60 Minutes,2,0,212,16,No,1,Neutral,No Comments,Connors Hill Ward
In person,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,2,0,150,20,No,1,Neutral,No Comments,Silver Berry Ward
In person,Riverbend Stake Centre,Riverbend Stake,0 - 30 Minutes,2,3,195,16,No,1,Neutral,No Comments,Terwillegar Park Ward
In person,Bearspaw Chapel,Gateway Stake,0 - 30 Minutes,3,0,100,27,Yes,2,Neutral,No Comments,Lee Ridge Ward
In person,Riverbend Stake Centre,Riverbend Stake,0 - 30 Minutes,2,2,100,9,No,1,Positive,Good experience,Rutherford Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,30 - 60 Minutes,2,0,147,23,No,1,Neutral,No Comments,Southgate Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,1,2,6,7,No,1,Neutral,No Comments,Londonderry Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,0,246,30,Yes,2,Negative,Less donations than last year,Crawford Plains Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,3,131,25,No,1,Neutral,No Comments,Crawford Plains Ward
In person,Riverbend Stake Centre,Riverbend Stake,0 - 30 Minutes,2,2,172,16,No,1,Neutral,No Comments,Rutherford Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,30 - 60 Minutes,4,0,301,19,Yes,2,Neutral,No Comments,Griesbach Ward
In person,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,2,0,236,40,No,1,Neutral,No Comments,Ellerslie Ward
In person,Bearspaw Chapel,Gateway Stake,0 - 30 Minutes,1,4,19,22,No,1,Neutral,No Comments,Lee Ridge Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,4,120,16,No,1,Neutral,No Comments,Greenfield Ward
In person,Bearspaw Chapel,Bonnie Doon Stake,1 Hour - 1.5 Hours,2,0,300,56,Yes,3,Neutral,No Comments,Southgate Ward
In person,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,5,2,27,31,No,1,Neutral,No Comments,Lee Ridge Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,1,3,236,32,No,1,Neutral,No Comments,Silver Berry Ward
In person,Bearspaw Chapel,Gateway Stake,0 - 30 Minutes,3,0,90,30,No,1,Positive,"More signs  in the neighborhood  required , mailboxes weren’t checked, earlier days for bags to be dropped off to give people more time",Blackmud Creek Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,4,3,145,21,Yes,2,Neutral,No Comments,Rabbit Hill Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,6,3,171,50,No,1,Positive,Good,Terwillegar Park Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,30 - 60 Minutes,1,1,240,31,No,1,Negative,Part 2 of this route (420 houses total) ,Namao Ward
In person,Riverbend Stake Centre,Riverbend Stake,2+ Hours,2,1,223,100,No,1,Positive,People in edmonton are ao kind,Terwillegar Park Ward
In person,Londonberry Chapel,Bonnie Doon Stake,1 Hour - 1.5 Hours,1,2,160,19,No,1,Positive,You need sign for telling which way to go,Clareview Ward
In person,Bearspaw Chapel,Gateway Stake,2+ Hours,2,4,186,21,No,1,Neutral,No Comments,Blackmud Creek Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,2,200,30,Yes,2,Negative,There was less donations than last year,Crawford Plains Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,2,2,500,58,Yes,3,Positive,Good,Rabbit Hill Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,2,1,126,9,No,1,Neutral,No Comments,Clareview Ward
In person,Bearspaw Chapel,Gateway Stake,1 Hour - 1.5 Hours,1,2,147,36,Yes,2,Neutral,No Comments,Lee Ridge Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,0,137,28,No,1,Neutral,No Comments,Lee Ridge Ward
In person,Bearspaw Chapel,Bonnie Doon Stake,1 Hour - 1.5 Hours,2,4,158,35,No,1,Neutral,No Comments,Southgate Ward
In person,Londonberry Chapel,Bonnie Doon Stake,1 Hour - 1.5 Hours,2,0,19,19,Yes,2,Neutral,No Comments,Clareview Ward
In person,Gateway Stake Centre ,Gateway Stake,0 - 30 Minutes,3,0,175,30,No,1,Neutral,No Comments,Silver Berry Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,2,197,45,No,1,Positive,We love the bags.,Greenfield Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,0 - 30 Minutes,1,3,96,16,No,1,Neutral,No Comments,Griesbach Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,5,0,326,53,Yes,2,Neutral,No Comments,Terwillegar Park Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,0,139,19,No,1,Neutral,No Comments,Rutherford Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,1,1,300,27,Yes,3,Neutral,No Comments,Clareview Ward
In person,Gateway Stake Centre ,Gateway Stake,2+ Hours,2,6,300,50,Yes,2,Neutral,No Comments,Blackmud Creek Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,30 - 60 Minutes,1,0,50,10,No,1,Neutral,No Comments,Forest Heights Ward
In person,Bearspaw Chapel,Gateway Stake,1 Hour - 1.5 Hours,1,2,177,45,No,1,Positive,A lot of people came out and brought the bags instead of having to go at physical doors for all donors - didn’t know route number or # of doors,Lee Ridge Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,3,0,350,45,Yes,2,Positive,Good,Rutherford Ward
In person,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,4,1,203,30,No,1,Neutral,No Comments,Silver Berry Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,2,0,31,39,No,1,Neutral,No Comments,Londonderry Ward
In person,Londonberry Chapel,Bonnie Doon Stake,1 Hour - 1.5 Hours,2,0,50,40,No,1,Negative,Didn't like the bags as hard to see them,Londonderry Ward
In person,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,2,1,176,20,Yes,2,Neutral,No Comments,Ellerslie Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,3,1,354,59,Yes,2,Neutral,No Comments,Rabbit Hill Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,2,100,12,No,1,Negative,"Routes need to be more clear, not broken up eothin a neighbourhood. Also need to look at demographics as low income housing does not generate donations. It is wa waste of time and resources to target the families who are most likely accessing the food bank.",Crawford Plains Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,2+ Hours,1,2,185,25,Yes,2,Neutral,No Comments,Connors Hill Ward
In person,Londonberry Chapel,Bonnie Doon Stake,1 Hour - 1.5 Hours,2,0,30,40,No,1,Neutral,No Comments,Londonderry Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,0,174,25,No,1,Neutral,No Comments,Silver Berry Ward
In person,Riverbend Stake Centre,Riverbend Stake,0 - 30 Minutes,1,5,66,12,Yes,2,Positive,It was fun,Rabbit Hill Ward
In person,Gateway Stake Centre ,Gateway Stake,2+ Hours,3,8,400,41,Yes,3,Positive,Brown bags worked great. Easier to deliver.,Crawford Plains Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,2+ Hours,2,0,160,32,No,1,Neutral,No Comments,Griesbach Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,2,3,209,80,No,1,Positive,Great experience for our family ,Greenfield Ward
In person,Gateway Stake Centre ,Gateway Stake,0 - 30 Minutes,1,0,138,4,No,1,Negative,"Way less donations on this route than last year, and lots of bag were still hanging in people's mailboxes untouched ",Rio Vista Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,0,2,177,30,No,1,Neutral,No Comments,Clareview Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,1 Hour - 1.5 Hours,2,0,242,46,No,1,Negative,"Not actually in Connors Hill ward, in Strathcona Married Student Ward, wasn't available in the dropdown menu",Connors Hill Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,30 - 60 Minutes,2,0,150,25,No,1,Neutral,No Comments,Connors Hill Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,2,9,20,26,No,1,Negative,Just letting people know which food bank it is going to,Londonderry Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,4,0,346,73,No,1,Neutral,No Comments,Terwillegar Park Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,1 Hour - 1.5 Hours,3,0,135,14,No,1,Negative,Construction on route ,Namao Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,4,0,250,54,No,1,Neutral,No Comments,Terwillegar Park Ward
In person,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,1,2,166,24,No,1,Neutral,No Comments,Lee Ridge Ward
via Email,Gateway Stake Centre ,Gateway Stake,0 - 30 Minutes,1,1,200,58,Yes,3,Neutral,No Comments,Ellerslie Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,3,2,207,36,No,1,Neutral,No Comments,Ellerslie Ward
In person,Riverbend Stake Centre,Riverbend Stake,0 - 30 Minutes,4,4,100,25,No,1,Neutral,No Comments,Woodbend Ward
via Email,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,4,1,60,14,No,1,Positive,Overall good experience ,Woodbend Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,1,4,250,56,No,1,Neutral,No Comments,Terwillegar Park Ward
In person,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,1,1,100,30,Yes,2,Neutral,No Comments,Ellerslie Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,4,264,35,No,1,Neutral,No Comments,Silver Berry Ward
In person,Londonberry Chapel,Bonnie Doon Stake,1 Hour - 1.5 Hours,1,0,65,70,Yes,2,Positive,Brighter color bags should be there ( yellow ) ,Clareview Ward
In person,Londonberry Chapel,Bonnie Doon Stake,2+ Hours,2,0,49,73,Yes,3,Neutral,No Comments,Clareview Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,2,205,10,Yes,2,Positive,Great fun ,Ellerslie Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,2,0,160,42,No,1,Positive,Was fine thanks,Terwillegar Park Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,30 - 60 Minutes,2,1,106,23,No,1,Neutral,No Comments,Namao Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,3,0,195,29,No,1,Neutral,No Comments,Terwillegar Park Ward
via Email,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,2,1,140,20,No,1,Neutral,No Comments,Crawford Plains Ward
In person,Bearspaw Chapel,Riverbend Stake,1 Hour - 1.5 Hours,2,4,127,58,No,1,Neutral,No Comments,Rabbit Hill Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,2,0,175,25,Yes,2,Positive,It was super fun! It made me realize that people are actually good 👍 I wish that we had this kind of community activity more often!,Rabbit Hill Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,30 - 60 Minutes,2,0,200,22,No,1,Negative,Ellen Peña - doesn’t know route #,Namao Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,4,9,171,26,No,1,Neutral,No Comments,Terwillegar Park Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,4,245,25,Yes,2,Neutral,No Comments,Crawford Plains Ward
In person,Bearspaw Chapel,Bonnie Doon Stake,2+ Hours,2,2,150,46,Yes,2,Neutral,No Comments,Southgate Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,30 - 60 Minutes,2,0,150,16,No,1,Neutral,No Comments,Griesbach Ward
In person,Riverbend Stake Centre,Riverbend Stake,0 - 30 Minutes,2,4,136,20,No,1,Neutral,No Comments,Rutherford Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,3,2,164,30,No,1,Neutral,No Comments,Terwillegar Park Ward
In person,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,2,4,300,75,Yes,3,Neutral,No Comments,Ellerslie Ward
In person,Londonberry Chapel,Bonnie Doon Stake,1 Hour - 1.5 Hours,1,0,225,80,Yes,2,Neutral,No Comments,Clareview Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,3,230,42,Yes,2,Neutral,No Comments,Ellerslie Ward
In person,Bearspaw Chapel,Gateway Stake,0 - 30 Minutes,2,2,177,55,Yes,3,Positive,"Have thank you notes to leave for donors that books on the handle not everyone checks their mailboxes- leave it where it’s visible , didn’t have a count of the door numbers",Lee Ridge Ward
In person,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,1,1,312,150,Yes,2,Positive,Thank you! This is awesome!,Rio Vista Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,2,159,15,No,1,Neutral,No Comments,Lee Ridge Ward
In person,Riverbend Stake Centre,Riverbend Stake,2+ Hours,4,2,428,75,Yes,2,Positive,Great Fun!,Rabbit Hill Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,1,2,100,12,No,1,Neutral,No Comments,Terwillegar Park Ward
via Email,Gateway Stake Centre ,Gateway Stake,0 - 30 Minutes,1,5,239,32,Yes,2,Neutral,No Comments,Ellerslie Ward
In person,Gateway Stake Centre ,Gateway Stake,2+ Hours,2,0,400,50,Yes,3,Positive,It was fun and will do it again.,Crawford Plains Ward
via Email,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,2,2,90,17,Yes,2,Neutral,No Comments,Clareview Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,30 - 60 Minutes,3,0,300,24,Yes,2,Neutral,No Comments,Griesbach Ward
In person,Bearspaw Chapel,Gateway Stake,2+ Hours,2,1,260,100,No,1,Positive,"Great experience , colours of the bags need to be brighter so that donors can see it better",Blackmud Creek Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,2,3,16,19,Yes,2,Neutral,No Comments,Londonderry Ward
via Email,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,2,2,125,21,Yes,2,Neutral,No Comments,Clareview Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,1,1,184,45,No,1,Positive,Very successful ,Greenfield Ward
In person,Riverbend Stake Centre,Riverbend Stake,2+ Hours,1,3,600,118,Yes,2,Neutral,No Comments,Woodbend Ward
In person,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,1,2,134,30,No,1,Neutral,No Comments,Crawford Plains Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,0,270,50,Yes,2,Positive,Awesome,Rio Vista Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,3,2,500,65,Yes,4,Neutral,No Comments,Rabbit Hill Ward
In person,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,1,0,138,6,No,1,Positive,Like being part of it,Crawford Plains Ward
In person,Gateway Stake Centre ,Gateway Stake,0 - 30 Minutes,2,2,119,14,No,1,Neutral,No Comments,Crawford Plains Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,5,0,326,53,Yes,2,Neutral,No Comments,Terwillegar Park Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,30 - 60 Minutes,2,2,70,7,Yes,2,Neutral,No Comments,Namao Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,4,0,278,35,No,1,Neutral,No Comments,Crawford Plains Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,3,0,329,15,No,1,Positive,Love being able to help,Rutherford Ward
In person,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,1,1,152,30,No,1,Positive,Look forward to doing it every year,Lee Ridge Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,3,210,25,No,1,Neutral,No Comments,Greenfield Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,2,1,18,25,No,1,Neutral,No Comments,Clareview Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,3,205,25,No,1,Neutral,No Comments,Ellerslie Ward
In person,Gateway Stake Centre ,Gateway Stake,0 - 30 Minutes,3,0,168,25,No,1,Neutral,No Comments,Silver Berry Ward
In person,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,2,5,216,46,No,1,Neutral,No Comments,Ellerslie Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,2+ Hours,1,4,100,18,No,1,Neutral,No Comments,Namao Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,4,200,49,No,1,Negative,Paper bags were harder to handle than previous plastic.,Greenfield Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,2+ Hours,3,0,200,30,No,1,Negative,"Bags are too flinsy, too small and tear easily",Forest Heights Ward
In person,Bearspaw Chapel,Gateway Stake,1 Hour - 1.5 Hours,2,2,410,45,Yes,3,Neutral,Some of route 20 they need it more than they give the donations,Lee Ridge Ward
In person,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,1,2,146,25,No,1,Neutral,No Comments,Lee Ridge Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,1,2,262,40,No,1,Neutral,No Comments,Terwillegar Park Ward
via Email,Bonnie Doon Stake Centre,Bonnie Doon Stake,0 - 30 Minutes,2,3,241,23,Yes,2,Negative,Collected about 15 bags from Ottewell 5 route and it has 209 houses. ,Connors Hill Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,2+ Hours,2,2,498,55,No,1,Negative,Route2-1.1,Namao Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,0 - 30 Minutes,4,0,167,30,No,1,Neutral,No Comments,Connors Hill Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,1 Hour - 1.5 Hours,2,1,25,12,No,1,Neutral,No Comments,Connors Hill Ward
In person,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,2,3,240,35,No,1,Positive,"The brown bags were a huge improvement, double the amount of food this year in comparison with think the bags are responsible for that",Blackmud Creek Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,0,150,34,No,1,Neutral,No Comments,Terwillegar Park Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,1,500,62,Yes,2,Neutral,No Comments,Ellerslie Ward
via Email,Bonnie Doon Stake Centre,Bonnie Doon Stake,0 - 30 Minutes,2,3,209,15,Yes,2,Neutral,No Comments,Connors Hill Ward
In person,Riverbend Stake Centre,Riverbend Stake,2+ Hours,2,4,312,60,Yes,2,Positive,It’s always great to see people helping the community,Terwillegar Park Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,1,149,25,No,1,Neutral,No Comments,Rio Vista Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,0 - 30 Minutes,4,0,167,25,No,1,Positive,This was great. I feel uplifted,Connors Hill Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,2+ Hours,1,0,522,80,Yes,2,Negative,"Number of bags collected is approximate, bags were not counted. Bag collection was completed using a bicycle + trailer. Three trips were needed, totaling 2.5 hours, including travel time to drop off all three loads, and the travel time back to the route after the first two loads. 190 bags were left over from number of bags initially given. About 1/3 of houses had No Flyers/No Junk Mail/No Soliciting posted of them. ",Connors Hill Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,2+ Hours,3,0,800,66,Yes,3,Neutral,No Comments,Griesbach Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,1,0,115,7,No,1,Neutral,No Comments,Beaumont Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,4,250,47,No,1,Neutral,No Comments,Woodbend Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,0,282,54,Yes,3,Neutral,No Comments,Rabbit Hill Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,2,3,180,42,No,1,Neutral,No Comments,Greenfield Ward
In person,Bearspaw Chapel,Gateway Stake,1 Hour - 1.5 Hours,3,4,377,71,Yes,2,Positive,"Great experience, a bit less  than last year - think it’s because of the economy presently ",Blackmud Creek Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,2,2,101,19,No,1,Neutral,No Comments,Terwillegar Park Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,2,1,177,5,No,1,Neutral,No Comments,Clareview Ward
In person,Gateway Stake Centre ,Gateway Stake,0 - 30 Minutes,2,0,140,17,No,1,Neutral,No Comments,Ellerslie Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,30 - 60 Minutes,2,5,142,20,No,1,Neutral,No Comments,Griesbach Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,1,1,8,10,No,1,Positive,Found paper easier to collect ,Londonderry Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,3,211,37,No,1,Neutral,No Comments,Greenfield Ward
In person,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,2,3,200,25,No,1,Negative,Bags - felt weren’t able to load them up because it’s a bit more fragile,Blackmud Creek Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,0 - 30 Minutes,2,2,225,20,No,1,Neutral,No Comments,Forest Heights Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,0,500,38,No,1,Neutral,No Comments,Greenfield Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,2,4,300,50,No,1,Neutral,No Comments,Woodbend Ward
In person,Bearspaw Chapel,Gateway Stake,0 - 30 Minutes,4,0,155,21,No,1,Negative,Seemed to be a bit less than last year,Lee Ridge Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,0,171,12,No,1,Positive,Really enjoy ,Crawford Plains Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,3,1,192,37,No,1,Neutral,No Comments,Terwillegar Park Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,3,0,215,38,No,1,Neutral,No Comments,Rabbit Hill Ward
via Email,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,3,4,188,27,Yes,3,Neutral,No Comments,Silver Berry Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,2,0,302,65,No,1,Positive,Also collected st ine 162 unit condo,Rabbit Hill Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,2,2,360,30,Yes,2,Neutral,No Comments,Rutherford Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,1 Hour - 1.5 Hours,5,10,800,95,No,1,Neutral,No Comments,Namao Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,2,3,300,40,Yes,2,Neutral,No Comments,Terwillegar Park Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,4,2,289,55,Yes,2,Positive,Total bags are from both routes. ,Rutherford Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,1,3,151,34,No,1,Neutral,No Comments,Rio Vista Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,2+ Hours,2,0,800,57,Yes,4,Positive,Great,Griesbach Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,2,0,40,3,No,1,Neutral,No Comments,Londonderry Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,2,200,42,No,1,Neutral,No Comments,Greenfield Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,2,300,35,No,1,Neutral,No Comments,Woodbend Ward
In person,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,2,2,257,31,Yes,2,Neutral,No Comments,Crawford Plains Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,30 - 60 Minutes,1,1,433,39,No,1,Positive,Third trip yay! ,Namao Ward
In person,Riverbend Stake Centre,Riverbend Stake,2+ Hours,1,2,182,43,Yes,2,Positive,"Its so fun
Nice to help",Terwillegar Park Ward
In person,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,1,4,300,40,No,1,Neutral,No Comments,Rio Vista Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,0 - 30 Minutes,1,2,212,20,No,1,Neutral,No Comments,Griesbach Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,2+ Hours,2,2,400,123,Yes,3,Negative,"2-3.2 had 200 doors
2-1.2 had 323 doors",Namao Ward
In person,Riverbend Stake Centre,Riverbend Stake,0 - 30 Minutes,2,0,132,16,No,1,Neutral,No Comments,Rabbit Hill Ward
In person,Londonberry Chapel,Bonnie Doon Stake,2+ Hours,3,0,50,50,Yes,2,Neutral,No Comments,Londonderry Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,1,4,245,28,No,1,Neutral,No Comments,Silver Berry Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,1,160,29,Yes,2,Neutral,No Comments,Lee Ridge Ward
